clae6,letra,clae6_desc,clae2_desc,letra_desc
089120,B,"Extracción de minerales para la fabricación de productos químicos (Incluye azufre, boracita e hidroboracita, calcita, celestina, colemanita, fluorita, litio y sales de litio naturales, sulfato de aluminio, sulfato de hierro, sulfato de magnesio, sulfato de sodio, ocres,  tinkal, ulexita, asfaltita, laterita, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
081300,B,"Extracción de arenas, canto rodado y triturados pétreos (Incluye arena para construcción, arena silícea, otras arenas naturales, canto rodado, dolomita triturada, salto triturado, piedra partida  y  otros triturados pétreos, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
089110,B,"Extracción de minerales para la fabricación de abonos excepto turba (Incluye guano, silvita, silvinita y otras sales de potasio naturales, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
089900,B,"Explotación de minas y canteras n.c.p. (Incluye amianto, cuarzo, diatomita, piedra pómez, ágata, agua marina, amatista, cristal de roca, rodocrosita, topacio, corindón, feldespato, mica, zeolita, perlita, granulado volcánico, puzolana, toba, talco, vermiculita, tosca, grafito, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
081200,B,"Extracción de piedra caliza y yeso (Incluye caliza, castina, conchilla, riolita, yeso natural, anhidrita, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
081400,B,"Extracción de arcilla y caolín (Incluye andalucita, arcillas, bentonita, caolín, pirofilita, silimanita, mullita, tierra de chamota o de dinas, etc.)",Extracción de otros minerales,EXPLOTACION DE MINAS Y CANTERAS
091000,B,Servicios de apoyo para la extracción de petróleo y gas natural,Actividades de apoyo al petróleo y la minería,EXPLOTACION DE MINAS Y CANTERAS
099000,B,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natual",Actividades de apoyo al petróleo y la minería,EXPLOTACION DE MINAS Y CANTERAS
101020,C,Producción y procesamiento de carne de aves,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
105090,C,"Elaboración de productos lácteos n.c.p. (Incluye la producción de caseínas, manteca, postres, etc., cuando no son obtenidos e forma integrada con la producción de leche)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
104012,C,Elaboración de aceite de oliva,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
104013,C,Elaboración de aceites y grasas vegetales refinados (No incluye aceite de oliva -actividad 104012-),Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
106131,C,Elaboración de alimentos a base de cereales,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
102003,C,"Fabricación de aceites, grasas, harinas y productos a base de pescados ",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107911,C,"Tostado, torrado y molienda de café",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107301,C,Elaboración de cacao y chocolate,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107129,C,"Elaboración de productos de panadería n.c.p. (Incluye la elaboración de pan, facturas, churros, pre-pizzas, masas de hojaldre, masas fritas, tortas, tartas, etc), (No incluye la fabricación de sándwich 561040)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101099,C,"Matanza de animales n.c.p. y procesamiento de su carne, elaboración de subproductos cárnicos n.c.p. (Incluye producción de carne fresca, refrigerada o congelada de liebre, conejo, animales de caza, etc.)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103091,C,"Elaboración de hortalizas y legumbres deshidratadas o desecadas, preparación n.c.p. de hortalizas y legumbres (Incluye la elaboración de harina y escamas de papa, sémola de hortalizas y legumbres,  hortalizas y legumbres deshidratadas, etc.)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107410,C,Elaboración de pastas alimentarias frescas,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101030,C,Elaboración de fiambres y embutidos,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
104020,C,Elaboración de margarinas y grasas vegetales comestibles similares,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107920,C,Preparación de hojas de té,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107912,C,Elaboración y molienda de hierbas aromáticas y  especias,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107121,C,"Elaboración industrial de productos de panadería, excepto galletitas y bizcochos (Incluye la elaboración de productos de panadería frescos, congelados y secos)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107500,C,"Elaboración de comidas preparadas para reventa (Incluye la elaboración de comidas preparadas para reventa en supermercados, kioscos, cafeterías, etc.)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107110,C,Elaboración de galletitas y bizcochos,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107991,C,"Elaboración de extractos, jarabes y concentrados",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103099,C,"Elaboración de frutas deshidratadas o desecadas, preparación n.c.p. de frutas",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101011,C,Matanza de ganado bovino (Incluye búfalos),Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101012,C,Procesamiento de carne de ganado bovino,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
109000,C,Servicios industriales para la elaboración de alimentos y bebidas,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
107420,C,Elaboración de pastas alimentarias secas,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
108000,C,Elaboración de alimentos preparados para animales,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
103020,C,"Elaboración de jugos naturales y sus concentrados, de frutas, hortalizas y legumbres (No incluye la elaboración de jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50% actividad 110492)",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
101040,C,"Matanza de ganado excepto el bovino y procesamiento de su carne (Incluye ganado ovino, porcino, equino, etc.) ",Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
102002,C,Elaboración de pescados de ríos y lagunas y otros productos fluviales y lacustres,Elaboración de productos alimenticios,INDUSTRIA MANUFACTURERA
